	Cluster_ID	Gene_ID	Contig_ID	MAG_ID
138	Cluster 6245	G80616_pe_k99_2184_69	G80616_pe_k99_2184	G80616_pe_bin.1
139	Cluster 6344	G80616_pe_k99_2184_8	G80616_pe_k99_2184	G80616_pe_bin.1
140	Cluster 6554	G80616_pe_k99_2184_60	G80616_pe_k99_2184	G80616_pe_bin.1
141	Cluster 6933	G80616_pe_k99_2184_35	G80616_pe_k99_2184	G80616_pe_bin.1
142	Cluster 7078	G80616_pe_k99_2184_28	G80616_pe_k99_2184	G80616_pe_bin.1
143	Cluster 7221	G80616_pe_k99_2184_57	G80616_pe_k99_2184	G80616_pe_bin.1
144	Cluster 7305	G80616_pe_k99_2184_75	G80616_pe_k99_2184	G80616_pe_bin.1
145	Cluster 7374	G80616_pe_k99_2184_18	G80616_pe_k99_2184	G80616_pe_bin.1
146	Cluster 7668	G80616_pe_k99_2184_54	G80616_pe_k99_2184	G80616_pe_bin.1
147	Cluster 7815	G80616_pe_k99_2184_7	G80616_pe_k99_2184	G80616_pe_bin.1
148	Cluster 8048	G80616_pe_k99_2184_13	G80616_pe_k99_2184	G80616_pe_bin.1
149	Cluster 8083	G80616_pe_k99_2184_15	G80616_pe_k99_2184	G80616_pe_bin.1
150	Cluster 8198	G80616_pe_k99_2184_51	G80616_pe_k99_2184	G80616_pe_bin.1
151	Cluster 8559	G80616_pe_k99_2184_19	G80616_pe_k99_2184	G80616_pe_bin.1
152	Cluster 8677	G80616_pe_k99_2184_26	G80616_pe_k99_2184	G80616_pe_bin.1
153	Cluster 8818	G80616_pe_k99_2184_32	G80616_pe_k99_2184	G80616_pe_bin.1
154	Cluster 9039	G80616_pe_k99_2184_29	G80616_pe_k99_2184	G80616_pe_bin.1
155	Cluster 9132	G80616_pe_k99_2184_42	G80616_pe_k99_2184	G80616_pe_bin.1
156	Cluster 9375	G80616_pe_k99_2184_22	G80616_pe_k99_2184	G80616_pe_bin.1
157	Cluster 9704	G80616_pe_k99_2184_34	G80616_pe_k99_2184	G80616_pe_bin.1
158	Cluster 10005	G80616_pe_k99_2184_50	G80616_pe_k99_2184	G80616_pe_bin.1
159	Cluster 10173	G80616_pe_k99_2184_71	G80616_pe_k99_2184	G80616_pe_bin.1
160	Cluster 10365	G80616_pe_k99_2184_2	G80616_pe_k99_2184	G80616_pe_bin.1
161	Cluster 10694	G80616_pe_k99_2184_38	G80616_pe_k99_2184	G80616_pe_bin.1
162	Cluster 10948	G80616_pe_k99_2184_6	G80616_pe_k99_2184	G80616_pe_bin.1
163	Cluster 11042	G80616_pe_k99_2184_31	G80616_pe_k99_2184	G80616_pe_bin.1
164	Cluster 11127	G80616_pe_k99_2184_20	G80616_pe_k99_2184	G80616_pe_bin.1
165	Cluster 11357	G80616_pe_k99_2184_30	G80616_pe_k99_2184	G80616_pe_bin.1
166	Cluster 11506	G80616_pe_k99_2184_49	G80616_pe_k99_2184	G80616_pe_bin.1
167	Cluster 11578	G80616_pe_k99_2184_24	G80616_pe_k99_2184	G80616_pe_bin.1
168	Cluster 11821	G80616_pe_k99_2184_37	G80616_pe_k99_2184	G80616_pe_bin.1
169	Cluster 12488	G80616_pe_k99_2184_73	G80616_pe_k99_2184	G80616_pe_bin.1
170	Cluster 13098	G80616_pe_k99_2184_40	G80616_pe_k99_2184	G80616_pe_bin.1
171	Cluster 13099	G80616_pe_k99_2184_12	G80616_pe_k99_2184	G80616_pe_bin.1
172	Cluster 13134	G80616_pe_k99_2184_53	G80616_pe_k99_2184	G80616_pe_bin.1
173	Cluster 13539	G80616_pe_k99_2184_74	G80616_pe_k99_2184	G80616_pe_bin.1
174	Cluster 3	G80616_pe_k99_6062_148	G80616_pe_k99_6062	G80616_pe_bin.1
175	Cluster 36	G80616_pe_k99_6062_51	G80616_pe_k99_6062	G80616_pe_bin.1
176	Cluster 48	G80616_pe_k99_6062_28	G80616_pe_k99_6062	G80616_pe_bin.1
177	Cluster 75	G80616_pe_k99_6062_9	G80616_pe_k99_6062	G80616_pe_bin.1
178	Cluster 109	G80616_pe_k99_6062_183	G80616_pe_k99_6062	G80616_pe_bin.1
179	Cluster 136	G80616_pe_k99_6062_32	G80616_pe_k99_6062	G80616_pe_bin.1
180	Cluster 182	G80616_pe_k99_6062_93	G80616_pe_k99_6062	G80616_pe_bin.1
181	Cluster 183	G80616_pe_k99_6062_81	G80616_pe_k99_6062	G80616_pe_bin.1
182	Cluster 203	G80616_pe_k99_6062_95	G80616_pe_k99_6062	G80616_pe_bin.1
183	Cluster 207	G80616_pe_k99_6062_91	G80616_pe_k99_6062	G80616_pe_bin.1
184	Cluster 209	G80616_pe_k99_6062_180	G80616_pe_k99_6062	G80616_pe_bin.1
185	Cluster 212	G80616_pe_k99_6062_16	G80616_pe_k99_6062	G80616_pe_bin.1
186	Cluster 237	G80616_pe_k99_6062_67	G80616_pe_k99_6062	G80616_pe_bin.1
187	Cluster 242	G80616_pe_k99_6062_178	G80616_pe_k99_6062	G80616_pe_bin.1
188	Cluster 314	G80616_pe_k99_6062_34	G80616_pe_k99_6062	G80616_pe_bin.1
189	Cluster 377	G80616_pe_k99_6062_122	G80616_pe_k99_6062	G80616_pe_bin.1
190	Cluster 387	G80616_pe_k99_6062_87	G80616_pe_k99_6062	G80616_pe_bin.1
191	Cluster 421	G80616_pe_k99_6062_196	G80616_pe_k99_6062	G80616_pe_bin.1
192	Cluster 448	G80616_pe_k99_6062_205	G80616_pe_k99_6062	G80616_pe_bin.1
193	Cluster 449	G80616_pe_k99_6062_184	G80616_pe_k99_6062	G80616_pe_bin.1
194	Cluster 486	G80616_pe_k99_6062_174	G80616_pe_k99_6062	G80616_pe_bin.1
195	Cluster 523	G80616_pe_k99_6062_199	G80616_pe_k99_6062	G80616_pe_bin.1
196	Cluster 530	G80616_pe_k99_6062_35	G80616_pe_k99_6062	G80616_pe_bin.1
197	Cluster 547	G80616_pe_k99_6062_7	G80616_pe_k99_6062	G80616_pe_bin.1
198	Cluster 582	G80616_pe_k99_6062_8	G80616_pe_k99_6062	G80616_pe_bin.1
199	Cluster 589	G80616_pe_k99_6062_190	G80616_pe_k99_6062	G80616_pe_bin.1
200	Cluster 604	G80616_pe_k99_6062_4	G80616_pe_k99_6062	G80616_pe_bin.1
201	Cluster 632	G80616_pe_k99_6062_78	G80616_pe_k99_6062	G80616_pe_bin.1
202	Cluster 652	G80616_pe_k99_6062_84	G80616_pe_k99_6062	G80616_pe_bin.1
203	Cluster 698	G80616_pe_k99_6062_138	G80616_pe_k99_6062	G80616_pe_bin.1
204	Cluster 707	G80616_pe_k99_6062_146	G80616_pe_k99_6062	G80616_pe_bin.1
205	Cluster 745	G80616_pe_k99_6062_152	G80616_pe_k99_6062	G80616_pe_bin.1
206	Cluster 760	G80616_pe_k99_6062_179	G80616_pe_k99_6062	G80616_pe_bin.1
207	Cluster 816	G80616_pe_k99_6062_130	G80616_pe_k99_6062	G80616_pe_bin.1
208	Cluster 842	G80616_pe_k99_6062_88	G80616_pe_k99_6062	G80616_pe_bin.1
209	Cluster 857	G80616_pe_k99_6062_144	G80616_pe_k99_6062	G80616_pe_bin.1
210	Cluster 871	G80616_pe_k99_6062_23	G80616_pe_k99_6062	G80616_pe_bin.1
211	Cluster 967	G80616_pe_k99_6062_181	G80616_pe_k99_6062	G80616_pe_bin.1
212	Cluster 1067	G80616_pe_k99_6062_150	G80616_pe_k99_6062	G80616_pe_bin.1
213	Cluster 1180	G80616_pe_k99_6062_168	G80616_pe_k99_6062	G80616_pe_bin.1
214	Cluster 1217	G80616_pe_k99_6062_10	G80616_pe_k99_6062	G80616_pe_bin.1
215	Cluster 1306	G80616_pe_k99_6062_31	G80616_pe_k99_6062	G80616_pe_bin.1
216	Cluster 1378	G80616_pe_k99_6062_145	G80616_pe_k99_6062	G80616_pe_bin.1
217	Cluster 1379	G80616_pe_k99_6062_149	G80616_pe_k99_6062	G80616_pe_bin.1
218	Cluster 1380	G80616_pe_k99_6062_83	G80616_pe_k99_6062	G80616_pe_bin.1
219	Cluster 1388	G80616_pe_k99_6062_136	G80616_pe_k99_6062	G80616_pe_bin.1
220	Cluster 1404	G80616_pe_k99_6062_86	G80616_pe_k99_6062	G80616_pe_bin.1
221	Cluster 1504	G80616_pe_k99_6062_96	G80616_pe_k99_6062	G80616_pe_bin.1
222	Cluster 1532	G80616_pe_k99_6062_66	G80616_pe_k99_6062	G80616_pe_bin.1
223	Cluster 1538	G80616_pe_k99_6062_203	G80616_pe_k99_6062	G80616_pe_bin.1
224	Cluster 1552	G80616_pe_k99_6062_20	G80616_pe_k99_6062	G80616_pe_bin.1
225	Cluster 1555	G80616_pe_k99_6062_177	G80616_pe_k99_6062	G80616_pe_bin.1
226	Cluster 1582	G80616_pe_k99_6062_182	G80616_pe_k99_6062	G80616_pe_bin.1
227	Cluster 1595	G80616_pe_k99_6062_74	G80616_pe_k99_6062	G80616_pe_bin.1
228	Cluster 1793	G80616_pe_k99_6062_94	G80616_pe_k99_6062	G80616_pe_bin.1
229	Cluster 1968	G80616_pe_k99_6062_29	G80616_pe_k99_6062	G80616_pe_bin.1
230	Cluster 2011	G80616_pe_k99_6062_15	G80616_pe_k99_6062	G80616_pe_bin.1
231	Cluster 2081	G80616_pe_k99_6062_115	G80616_pe_k99_6062	G80616_pe_bin.1
232	Cluster 2091	G80616_pe_k99_6062_11	G80616_pe_k99_6062	G80616_pe_bin.1
233	Cluster 2204	G80616_pe_k99_6062_90	G80616_pe_k99_6062	G80616_pe_bin.1
234	Cluster 2344	G80616_pe_k99_6062_201	G80616_pe_k99_6062	G80616_pe_bin.1
235	Cluster 2564	G80616_pe_k99_6062_82	G80616_pe_k99_6062	G80616_pe_bin.1
236	Cluster 2606	G80616_pe_k99_6062_134	G80616_pe_k99_6062	G80616_pe_bin.1
237	Cluster 2607	G80616_pe_k99_6062_22	G80616_pe_k99_6062	G80616_pe_bin.1
238	Cluster 2622	G80616_pe_k99_6062_62	G80616_pe_k99_6062	G80616_pe_bin.1
239	Cluster 2646	G80616_pe_k99_6062_79	G80616_pe_k99_6062	G80616_pe_bin.1
240	Cluster 2651	G80616_pe_k99_6062_60	G80616_pe_k99_6062	G80616_pe_bin.1
241	Cluster 2670	G80616_pe_k99_6062_42	G80616_pe_k99_6062	G80616_pe_bin.1
242	Cluster 2713	G80616_pe_k99_6062_194	G80616_pe_k99_6062	G80616_pe_bin.1
243	Cluster 2997	G80616_pe_k99_6062_104	G80616_pe_k99_6062	G80616_pe_bin.1
244	Cluster 3005	G80616_pe_k99_6062_89	G80616_pe_k99_6062	G80616_pe_bin.1
245	Cluster 3007	G80616_pe_k99_6062_73	G80616_pe_k99_6062	G80616_pe_bin.1
246	Cluster 3015	G80616_pe_k99_6062_129	G80616_pe_k99_6062	G80616_pe_bin.1
247	Cluster 3017	G80616_pe_k99_6062_26	G80616_pe_k99_6062	G80616_pe_bin.1
248	Cluster 3045	G80616_pe_k99_6062_44	G80616_pe_k99_6062	G80616_pe_bin.1
249	Cluster 3180	G80616_pe_k99_6062_175	G80616_pe_k99_6062	G80616_pe_bin.1
250	Cluster 3194	G80616_pe_k99_6062_154	G80616_pe_k99_6062	G80616_pe_bin.1
251	Cluster 3249	G80616_pe_k99_6062_36	G80616_pe_k99_6062	G80616_pe_bin.1
252	Cluster 3251	G80616_pe_k99_6062_195	G80616_pe_k99_6062	G80616_pe_bin.1
253	Cluster 3373	G80616_pe_k99_6062_3	G80616_pe_k99_6062	G80616_pe_bin.1
254	Cluster 3385	G80616_pe_k99_6062_142	G80616_pe_k99_6062	G80616_pe_bin.1
255	Cluster 3451	G80616_pe_k99_6062_92	G80616_pe_k99_6062	G80616_pe_bin.1
256	Cluster 3494	G80616_pe_k99_6062_167	G80616_pe_k99_6062	G80616_pe_bin.1
257	Cluster 3544	G80616_pe_k99_6062_24	G80616_pe_k99_6062	G80616_pe_bin.1
258	Cluster 3689	G80616_pe_k99_6062_85	G80616_pe_k99_6062	G80616_pe_bin.1
259	Cluster 3724	G80616_pe_k99_6062_103	G80616_pe_k99_6062	G80616_pe_bin.1
260	Cluster 4041	G80616_pe_k99_6062_19	G80616_pe_k99_6062	G80616_pe_bin.1
261	Cluster 4080	G80616_pe_k99_6062_137	G80616_pe_k99_6062	G80616_pe_bin.1
262	Cluster 4085	G80616_pe_k99_6062_80	G80616_pe_k99_6062	G80616_pe_bin.1
263	Cluster 4232	G80616_pe_k99_6062_18	G80616_pe_k99_6062	G80616_pe_bin.1
264	Cluster 4242	G80616_pe_k99_6062_69	G80616_pe_k99_6062	G80616_pe_bin.1
265	Cluster 4418	G80616_pe_k99_6062_21	G80616_pe_k99_6062	G80616_pe_bin.1
266	Cluster 4674	G80616_pe_k99_6062_172	G80616_pe_k99_6062	G80616_pe_bin.1
267	Cluster 4709	G80616_pe_k99_6062_114	G80616_pe_k99_6062	G80616_pe_bin.1
268	Cluster 4717	G80616_pe_k99_6062_37	G80616_pe_k99_6062	G80616_pe_bin.1
269	Cluster 4733	G80616_pe_k99_6062_118	G80616_pe_k99_6062	G80616_pe_bin.1
270	Cluster 4740	G80616_pe_k99_6062_6	G80616_pe_k99_6062	G80616_pe_bin.1
271	Cluster 4753	G80616_pe_k99_6062_186	G80616_pe_k99_6062	G80616_pe_bin.1
272	Cluster 4776	G80616_pe_k99_6062_43	G80616_pe_k99_6062	G80616_pe_bin.1
273	Cluster 4979	G80616_pe_k99_6062_139	G80616_pe_k99_6062	G80616_pe_bin.1
274	Cluster 5054	G80616_pe_k99_6062_47	G80616_pe_k99_6062	G80616_pe_bin.1
275	Cluster 5127	G80616_pe_k99_6062_30	G80616_pe_k99_6062	G80616_pe_bin.1
276	Cluster 5134	G80616_pe_k99_6062_198	G80616_pe_k99_6062	G80616_pe_bin.1
277	Cluster 5142	G80616_pe_k99_6062_193	G80616_pe_k99_6062	G80616_pe_bin.1
278	Cluster 5303	G80616_pe_k99_6062_71	G80616_pe_k99_6062	G80616_pe_bin.1
